id,value
data1,
data1.a,
data1.a.c,
data1.a.cluster.wakeupamerica,15260
data1.a.cluster.tcot,6018
data1.a.cluster.pjnet,4939
data1.a.cluster.nepalquake,3033
data1.a.cluster.whcd,3020
data1.a.cluster.nerdland,2737
data1.a.cluster.newday,2543
data1.a.cluster.ccot,2197
data1.a.cluster.freddiegray,2113
data1.a.cluster.partsunknown,2015
data1.a.cluster.marijuana,1985
data1.a.cluster.highprofits,1974
data1.a.cluster.iran,1922
data1.a.cluster.lnyhbt,1827
data1.a.cluster.nepal,1768
data1.a.cluster.cosproject,1707
data1.a.cluster.mtp,1567
data1.a.cluster.fns,1567
data1.a.cluster.clintoncash,1450
data1.a.cluster.nepalearthquake,1406
data1.a.cluster.irantalks,1170
data1.a.cluster.extremerules,1156
data1.a.cluster.uppers,1113
data1.a.cluster.uniteblue,1061
data1.a.cluster.baltimore,987
data1.a.cluster.̤a,787
data1.a.cluster.teaparty,750
data1.a.cluster.hillary,743
data1.a.cluster.2a,735
data1.a.cluster.disclosure,614
data1.a.cluster.obamahatesamerica,595
data1.a.cluster.freeamirnow,594
data1.a.cluster.rednationrising,574
data1.a.cluster.usa,548
data1.a.cluster.foxnews,547
data1.a.cluster.earthquake,535
data1.a.cluster.tlot,523
data1.a.cluster.makedclisten,517
data1.a.cluster.news,497
data1.a.cluster.irandeal,484
data1.a.cluster.hillary2016,473
data1.a.cluster.commoncore,459
data1.a.cluster.uk,420
data1.a.cluster.whyimnotvotingforhillary,418
data1.a.cluster.stopccal,417
data1.a.cluster.stopislam,416
data1.a.cluster.stopcc,405
data1.a.cluster.obama,405
data1.a.cluster.gop,405
data1.a.cluster.rt,404
data1.a.cluster.articlev,399
data1.a.cluster.baltimoreriots,380
data1.a.cluster.renewus,375
data1.a.cluster.whcd2015,372
data1.a.cluster.tgdn,368
data1.a.cluster.celtics,361
data1.a.cluster.wakeupa,349
data1.a.cluster.syria,343
data1.a.cluster.isis,343
data1.a.cluster.p2,326
data1.a.cluster.stopcommoncore,324
data1.a.cluster.fact,314
data1.a.cluster.conventionofstates,313
data1.a.cluster.nerdprom,312
data1.a.cluster.takebackourcountry,310
data1.a.cluster.gunsense,309
data1.a.cluster.kathmandu,306
data1.a.cluster.bestteamever,301
data1.a.cluster.ext,292
data1.a.cluster.stopislamicterror,280
data1.a.cluster.yesalsb101,275
data1.a.cluster.atamagelsinogretmenolmesin,273
data1.a.cluster.cavaliers,257
data1.a.cluster.ycot,250
data1.a.cluster.constitution,248
data1.a.cluster.blowtojustice,242
data1.a.cluster.reagangrowthnow,241
data1.a.cluster.israel,240
data1.a.cluster.wwe,239
data1.a.cluster.nepalqu,232
data1.a.cluster.standwithisrael,228
data1.a.cluster.rescue425,225
data1.a.cluster.boycott4truth,225
data1.a.cluster.stophillary2016,223
data1.a.cluster.paris,223
data1.a.cluster.ukpic,222
data1.a.cluster.tpp,215
data1.a.cluster.grandgathering,214
data1.a.cluster.nra,213
data1.a.cluster.democrats,209
data1.a.cluster.blacklivesmatter,207
data1.a.cluster.4palkids,200
data1.a.cluster.mediamustreport,198
data1.a.cluster.morningjoe,194
data1.a.cluster.thisweek,193
data1.a.cluster.msnbcafterparty,192
data1.a.cluster.iafaithforum,189
data1.a.cluster.us,187
data1.a.cluster.muslims,187
data1.a.cluster.wakeup,186
